YEAR,BACHELORS,econ,rate,Total_Men,Total_Women,Total
1995,Arts & Humanities,gdp_trils,7.639749,87965,123322,211287
1995,Arts & Humanities,unemploy,5.65,87965,123322,211287
1995,Business & Management,gdp_trils,7.639749,126365,117366,243731
1995,Business & Management,unemploy,5.65,126365,117366,243731
1995,Education,gdp_trils,7.639749,29414,84478,113892
1995,Education,unemploy,5.65,29414,84478,113892
1995,Engineering,gdp_trils,7.639749,70435,18115,88550
1995,Engineering,unemploy,5.65,70435,18115,88550
1995,Grand total,gdp_trils,7.639749,535370,647410,1182780
1995,Grand total,unemploy,5.65,535370,647410,1182780
1995,Health & Medical,gdp_trils,7.639749,14763,66818,81581
1995,Health & Medical,unemploy,5.65,14763,66818,81581
1995,Natural Sciences,gdp_trils,7.639749,49089,45523,94612
1995,Natural Sciences,unemploy,5.65,49089,45523,94612
1995,Other/Unknown,gdp_trils,7.639749,83440,86582,170022
1995,Other/Unknown,unemploy,5.65,83440,86582,170022
1995,Social & Behavioral Sciences,gdp_trils,7.639749,73899,105206,179105
1995,Social & Behavioral Sciences,unemploy,5.65,73899,105206,179105
1996,Arts & Humanities,gdp_trils,8.073122,87383,123921,211304
1996,Arts & Humanities,unemploy,5.451,87383,123921,211304
1996,Business & Management,gdp_trils,8.073122,121126,115076,236202
1996,Business & Management,unemploy,5.451,121126,115076,236202
1996,Education,gdp_trils,8.073122,30359,83915,114274
1996,Education,unemploy,5.451,30359,83915,114274
1996,Engineering,gdp_trils,8.073122,69665,18150,87815
1996,Engineering,unemploy,5.451,69665,18150,87815
1996,Grand total,gdp_trils,8.073122,528791,652846,1181637
1996,Grand total,unemploy,5.451,528791,652846,1181637
1996,Health & Medical,gdp_trils,8.073122,15753,69877,85630
1996,Health & Medical,unemploy,5.451,15753,69877,85630
1996,Natural Sciences,gdp_trils,8.073122,51514,48582,100096
1996,Natural Sciences,unemploy,5.451,51514,48582,100096
1996,Other/Unknown,gdp_trils,8.073122,80406,86722,167128
1996,Other/Unknown,unemploy,5.451,80406,86722,167128
1996,Social & Behavioral Sciences,gdp_trils,8.073122,72585,106603,179188
1996,Social & Behavioral Sciences,unemploy,5.451,72585,106603,179188
1997,Arts & Humanities,gdp_trils,8.577554457,86984,123894,210878
1997,Arts & Humanities,unemploy,5,86984,123894,210878
1997,Business & Management,gdp_trils,8.577554457,120628,114788,235416
1997,Business & Management,unemploy,5,120628,114788,235416
1997,Education,gdp_trils,8.577554457,30747,83808,114555
1997,Education,unemploy,5,30747,83808,114555
1997,Engineering,gdp_trils,8.577554457,69226,18355,87581
1997,Engineering,unemploy,5,69226,18355,87581
1997,Grand total,gdp_trils,8.577554457,526047,662338,1188385
1997,Grand total,unemploy,5,526047,662338,1188385
1997,Health & Medical,gdp_trils,8.577554457,16182,70901,87083
1997,Health & Medical,unemploy,5,16182,70901,87083
1997,Natural Sciences,gdp_trils,8.577554457,51851,51600,103451
1997,Natural Sciences,unemploy,5,51851,51600,103451
1997,Other/Unknown,gdp_trils,8.577554457,79814,90255,170069
1997,Other/Unknown,unemploy,5,79814,90255,170069
1997,Social & Behavioral Sciences,gdp_trils,8.577554457,70615,108737,179352
1997,Social & Behavioral Sciences,unemploy,5,70615,108737,179352
1998,Arts & Humanities,gdp_trils,9.062818202,88396,128557,216953
1998,Arts & Humanities,unemploy,4.511,88396,128557,216953
1998,Business & Management,gdp_trils,9.062818202,124236,117964,242200
1998,Business & Management,unemploy,4.511,124236,117964,242200
1998,Education,gdp_trils,9.062818202,31277,85208,116485
1998,Education,unemploy,4.511,31277,85208,116485
1998,Engineering,gdp_trils,9.062818202,69661,18720,88381
1998,Engineering,unemploy,4.511,69661,18720,88381
1998,Grand total,gdp_trils,9.062818202,527779,676048,1203827
1998,Grand total,unemploy,4.511,527779,676048,1203827
1998,Health & Medical,gdp_trils,9.062818202,15439,70857,86296
1998,Health & Medical,unemploy,4.511,15439,70857,86296
1998,Natural Sciences,gdp_trils,9.062818202,51370,53514,104884
1998,Natural Sciences,unemploy,4.511,51370,53514,104884
1998,Other/Unknown,gdp_trils,9.062818202,78006,92090,170096
1998,Other/Unknown,unemploy,4.511,78006,92090,170096
